home,home_score,away,away_score
Brighton,2,Man City,3
Nottm Forest,1,West Ham,3
Liverpool,0,Arsenal,2
Aston Villa,0,Crystal Palace,1
Rangers,2,Celtic,5
Dundee,3,Dundee Utd,7
Aberdeen,0,Falkirk,2
Hibernian,2,St. Mirren,P
Hallam,2,Ashton Utd,1
Wokingham,1,Burgess Hill,0
Malawi,1,Lesotho,1
Partick,3,Celtic,1
Hamilton,0,Hearts,0
Montrose,1,Aberdeen,0
Rangers,1,Motherwell,1
Coleraine,1,Linfield,1
Shamrock,1,Drogheda,0
Celta Vigo,3,Villarreal,0
Betis,1,Athletic,0
Espanyol,1,Osasuna,1
Rayo,1,Barcelona,0
Wolfsburg,6,Mainz 05,0
Dortmund,1,Union Berlin,2
KÃ¶ln,1,Freiburg,0
Genoa,3,Juventus,1
Torino,0,Fiorentina,2
Inter Milan,1,Udinese,3
Lazio,3,Verona,2
Austria,0,Altach,1
Hartberg,1,Rapid Vienna,1
WSG Tirol,2,WAC,4
Gent,3,Club Brugge,1
OHL,1,Standard,1
R. Union SG,3,Anderlecht,2
Genk,1,ZW,0
Cruzeiro,1,SÃ£o Paulo,1
Flamengo,1,GrÃªmio,1
Santos,2,Fluminense,3
Corinthians,1,Palmeiras,5
Mirassol,1,Bahia,0
VitÃ³ria,0,AtlÃ©tico MG,2
Three Towns,2,Shenhua,0
Taishan,2,Guoan,0
Peng City,1,Hakka,0
Lokomotiva,1,Osijek,0
Hajduk,2,Rijeka,0
Liberec,2,PlzeÅ,2
Olomouc,1,Ostrava,2
Sparta Prague,2,ZlÃ­n,1
AGF,3,Fredericia,0
Silkeborg,2,SÃ¸nderjyskE,1
OB,2,NordsjÃ¦lland,2
Randers,1,KÃ¸benhavn,2
BrÃ¸ndby,0,Midtjylland,5
Fortuna,3,NEC,0
Zwolle,1,Utrecht,3
Sparta,1,Feyenoord,1
NAC,1,AZ,4
Gnistan,2,Jaro,0
Ilves,1,Mariehamn,2
Inter Turku,3,VPS,3
KTP,0,HJK,0
Oulu,1,Haka,2
SJK,4,KuPS,0
Angers,0,Rennes,2
Le Havre,1,Nice,0
Monaco,1,Strasbourg,1
Paris,1,Metz,1
Lyon,4,Marseille,3
AEK Athens,,Asteras,
PAOK,,Atromitos,
Panathinaikos,,Levadiakos,
Shimizu,,Kashima,
Cerezo,,Sanfrecce,
Kashiwa,,Avispa,
Kawasaki,,Machida,
Nagoya,,Tokyo,
Shonan,,Gamba,
Urawa,,Albirex,
LeÃ³n,,QuerÃ©taro,
Santos Laguna,,Tigres,
Chivas,,Cruz Azul,
Club AmÃ©rica,,Pachuca,
Pumas,,Atlas,
Bayelsa Utd,,Barau,
Enyimba,,Tornadoes,
Kano Pillars,,Wikki,
Nasarawa Utd,,Abia,
Plateau Utd,,Katsina Utd,
Rivers Utd,,Kwara Utd,
Warri,,Enugu,
Ikorodu City,,Warriors,
Kristiansund,,Brann,
Fredrikstad,,Haugesund,
HamKam,,Sarpsborg,
Sandefjord,,BodÃ¸/Glimt,
TromsÃ¸,,KFUM,
Viking,,Rosenborg,
StrÃ¸msgodset,,Molde,
Jagiellonia,,Lechia,
Lech,,Widzew,
Cracovia,,Legia,
PogoÅ,,RakÃ³w,
Tondela,,Estoril,
Alverca,,Benfica,
Rio Ave,,Braga,
Santa Clara,,Estrela,
Novi Pazar,,Red Star,
Napredak,,FK IMT,
RadniÄki Krag,,RadniÄki NiÅ¡,
Å½elezniÄar P,,Spartak,
Chippa Utd,,Pirates,
Gallants,,Polokwane,
AIK,,Sirius,
MalmÃ¶,,Degerfors,
NorrkÃ¶ping,,DjurgÃ¥rden,
GAIS,,HÃ¤cken,
Hammarby,,Ãster,
Lausanne,,St.Gallen,
Servette,,Luzern,
Young Boys,,Lugano,
GenÃ§lerbirliÄi,,FenerbahÃ§e,
BaÅakÅehir,,EyÃ¼p,
Alanyaspor,,BeÅiktaÅ,
Trabzonspor,,Samsunspor,
LNZ Cherkasy,,Veres Rivne,
Dynamo Kyiv,,Polissya,
Shakhtar D,,Oleksandria,
Cincinnati,,Philadelphia,
New England,,Charlotte,
NYCFC,,DC United,
New York,,Columbus,
Toronto,,MontrÃ©al,
Austin,,Earthquakes,
Minnesota,,Portland,
Nashville,,Atlanta United,
Sporting KC,,Colorado,
St. Louis,,Houston,
